Genre,RecordOrigin,RecordCreationDate,RecordIdentifier,Roll
Conference paper,u16d7gzt,2018-11-23,1265518,okänd
Chapter in book,u1f6xaea,2018-11-23,1265343,okänd
Article in journal,u16d7gzt,2018-11-23,1265520,okänd
Chapter in book,u1f6xaea,2018-11-23,1265410,okänd
Article in journal,u1mrofzw,2018-11-27,1266384,okänd
Article in journal,u1o2txrh,2018-11-28,1266412,KTHB
Article in journal,u1o2txrh,2018-11-28,1266420,KTHB
Article in journal,u1kxcnzu,2018-12-04,1267839,okänd
Book,u197050r,2018-12-04,1267962,okänd
Article in journal,u1b98625,2018-12-05,1268219,okänd
Article (review/survey),u1coq1jm,2018-12-11,1269752,KTHB
Article in journal,u1coq1jm,2018-12-11,1269756,KTHB
Article in journal,u1coq1jm,2018-12-11,1269764,KTHB
Article in journal,u1coq1jm,2018-12-11,1269767,KTHB
Article (review/survey),u1coq1jm,2018-12-11,1269760,KTHB
Article in journal,u1coq1jm,2018-12-11,1269745,KTHB
Article in journal,u1coq1jm,2018-12-11,1269736,KTHB
Article in journal,u14fhowv,2018-12-12,1270207,okänd
Article in journal,u1ea4f5r,2018-12-17,1271398,okänd
Article in journal,u1i8jvxh,2018-12-17,1271383,KTHB
Article in journal,u1p4gybc,2018-12-17,1271287,okänd
Article in journal,u1fcwvxl,2018-12-17,1271591,okänd
Article in journal,u1p4gybc,2018-12-17,1271280,okänd
Article in journal,u1vybvn3,2018-12-17,1271387,okänd
Article in journal,u1w7ca8o,2018-12-17,1271476,okänd
Article in journal,u1i8jvxh,2018-12-18,1272067,KTHB
Article in journal,u1i8jvxh,2018-12-18,1272054,KTHB
Article in journal,u1ko0rwd,2018-12-19,1272630,okänd
Conference paper,u1ko0rwd,2018-12-19,1272621,okänd
Article in journal,u1uqpnn8,2018-12-20,1273304,okänd
Conference paper,u1wj24b7,2018-12-20,1273040,okänd
Article in journal,u1wjw3yg,2018-12-26,1273957,okänd
Article in journal,u1v7ocjy,2018-12-30,1274338,okänd
Article in journal,u1poc3ny,2019-01-03,1274838,okänd
Article in journal,u1iluqob,2019-01-03,1274941,okänd
Article in journal,u1o2txrh,2019-01-04,1275013,KTHB
Article in journal,u1o2txrh,2019-01-04,1275014,KTHB
Article in journal,u1enfr6x,2019-01-04,1275068,okänd
Article in journal,u1kn30sq,2019-01-07,1276058,okänd
Chapter in book,u1iluqob,2019-01-07,1276148,okänd
Article in journal,u1o2txrh,2019-01-09,1277092,KTHB
Article in journal,u1o2txrh,2019-01-09,1277046,KTHB
Article in journal,u13h9uqy,2019-01-09,1277169,KTHB
Article in journal,u1o2txrh,2019-01-09,1276937,KTHB
Article in journal,u1o2txrh,2019-01-09,1277126,KTHB
Article in journal,u1o2txrh,2019-01-10,1277505,KTHB
Article in journal,u19lof5r,2019-01-10,1277478,okänd
Article in journal,u19lof5r,2019-01-10,1277502,okänd
Article in journal,u19lof5r,2019-01-10,1277495,okänd
Article in journal,u1o2txrh,2019-01-10,1277445,KTHB
Article in journal,u19lof5r,2019-01-10,1277490,okänd
Article in journal,u1o2txrh,2019-01-10,1277342,KTHB
Article in journal,u13h9uqy,2019-01-10,1277451,KTHB
Article in journal,u19lof5r,2019-01-10,1277497,okänd
Article in journal,u1o2txrh,2019-01-10,1277429,KTHB
Article in journal,u1o2txrh,2019-01-10,1277475,KTHB
Article in journal,u13h9uqy,2019-01-11,1277819,KTHB
Article in journal,u1o2txrh,2019-01-11,1277660,KTHB
Article in journal,u13h9uqy,2019-01-11,1277792,KTHB
Article in journal,u1o2txrh,2019-01-11,1277699,KTHB
Article in journal,u1o2txrh,2019-01-11,1277720,KTHB
Article in journal,u1farda5,2019-01-12,1278159,okänd
Article in journal,u1g8o6ai,2019-01-15,1278996,okänd
Article in journal,u1ibhpuf,2019-01-15,1278851,okänd
Article in journal,u164h23g,2019-01-17,1280070,okänd
Article in journal,u13h9uqy,2019-01-21,1281119,KTHB
Article in journal,u13h9uqy,2019-01-21,1281082,KTHB
Conference paper,u1o2txrh,2019-01-21,1280851,KTHB
Conference paper,u1hsknfd,2019-01-21,1281024,okänd
Article in journal,u13h9uqy,2019-01-21,1281111,KTHB
Article in journal,u13h9uqy,2019-01-21,1281085,KTHB
Article in journal,u13h9uqy,2019-01-21,1281098,KTHB
Article in journal,u13h9uqy,2019-01-21,1281148,KTHB
Article in journal,u13h9uqy,2019-01-21,1281075,KTHB
Article in journal,u13h9uqy,2019-01-21,1281089,KTHB
Article in journal,u13h9uqy,2019-01-21,1281134,KTHB
Article in journal,u13h9uqy,2019-01-21,1281078,KTHB
Article in journal,u13h9uqy,2019-01-21,1280901,KTHB
Article in journal,u15qxw2m,2019-01-22,1281449,okänd
Article in journal,u1izkr9z,2019-01-23,1281777,okänd
Article in journal,u12rf6rn,2019-01-23,1282048,okänd
Article in journal,u1i69unx,2019-01-24,1282270,okänd
Article in journal,u1j9cqp1,2019-01-24,1282265,okänd
Article in journal,u1o1gmjr,2019-01-24,1282360,okänd
Article in journal,u1i8jvxh,2019-01-25,1282580,KTHB
Conference paper,u1q84zib,2019-01-25,1282778,okänd
Conference paper,u1o2txrh,2019-01-25,1282676,KTHB
Article (book review),u1rp75t5,2019-01-25,1282799,okänd
Article in journal,u1i8jvxh,2019-01-25,1282539,KTHB
Article in journal,u1uqpnn8,2019-01-25,1282619,okänd
Conference paper,u1q84zib,2019-01-25,1282782,okänd
Article in journal,u1i8jvxh,2019-01-25,1282564,KTHB
Article in journal,u1i8jvxh,2019-01-25,1282741,KTHB
Article in journal,u1i8jvxh,2019-01-25,1282543,KTHB
Article (review/survey),u1i8jvxh,2019-01-25,1282557,KTHB
Article in journal,u1i8jvxh,2019-01-25,1282731,KTHB
Article in journal,u1i8jvxh,2019-01-25,1282729,KTHB
Article in journal,u1i8jvxh,2019-01-25,1282740,KTHB
Article in journal,u1i8jvxh,2019-01-25,1282546,KTHB
Conference paper,u1o2txrh,2019-01-25,1282700,KTHB
Article in journal,u1i8jvxh,2019-01-25,1282578,KTHB
Article in journal,u1i8jvxh,2019-01-25,1282745,KTHB
Article in journal,u1i8jvxh,2019-01-25,1282549,KTHB
Article in journal,u1i8jvxh,2019-01-25,1282532,KTHB
Article in journal,u1i8jvxh,2019-01-25,1282545,KTHB
Article in journal,u1i8jvxh,2019-01-25,1282538,KTHB
Article in journal,u1i8jvxh,2019-01-25,1282561,KTHB
Article in journal,u1i8jvxh,2019-01-25,1282570,KTHB
Article in journal,u1gbn421,2019-01-25,1282705,KTHB
Chapter in book,u1rp75t5,2019-01-26,1282862,okänd
Article in journal,u1i8jvxh,2019-01-28,1283112,KTHB
Conference paper,u1m5nend,2019-01-28,1283124,okänd
Conference paper,u1c5ikv9,2019-01-28,1283020,okänd
Article in journal,u1dfmuzo,2019-01-28,1282973,okänd
Article in journal,u13yq2s5,2019-01-28,1283217,KTHB
Article in journal,u1i8jvxh,2019-01-28,1283101,KTHB
Article in journal,u13yq2s5,2019-01-28,1283203,KTHB
Article (review/survey),u13yq2s5,2019-01-28,1283206,KTHB
Article in journal,u13yq2s5,2019-01-29,1283732,KTHB
Article in journal,u13yq2s5,2019-01-29,1283722,KTHB
Article in journal,u13yq2s5,2019-01-29,1283738,KTHB
Article in journal,u1mvd1wz,2019-01-29,1283730,okänd
Article in journal,u13yq2s5,2019-01-29,1283725,KTHB
Article in journal,u1nqln80,2019-01-29,1283604,okänd
Article in journal,u159wt1z,2019-01-29,1283601,okänd
Article in journal,u13yq2s5,2019-01-29,1283719,KTHB
Article in journal,u13yq2s5,2019-01-29,1283374,KTHB
Article in journal,u13yq2s5,2019-01-29,1283733,KTHB
Article in journal,u13yq2s5,2019-01-29,1283721,KTHB
Article in journal,u11qq7ds,2019-01-30,1283925,okänd
Manuscript (preprint),u11qq7ds,2019-01-30,1283924,okänd
Article in journal,u13yq2s5,2019-01-30,1284019,KTHB
Article in journal,u13yq2s5,2019-01-30,1284027,KTHB
Conference paper,u11qq7ds,2019-01-30,1283922,okänd
Conference paper,u11qq7ds,2019-01-30,1283920,okänd
Article in journal,u11qq7ds,2019-01-30,1283929,okänd
Article in journal,u13yq2s5,2019-01-31,1284477,KTHB
Article in journal,u13yq2s5,2019-01-31,1284293,KTHB
Article in journal,u13yq2s5,2019-01-31,1284489,KTHB
Article in journal,u1k9gkf1,2019-01-31,1284434,okänd
Article in journal,u1dz2no4,2019-01-31,1284524,okänd
Chapter in book,u1jqk24g,2019-01-31,1284535,okänd
Article in journal,u1o2txrh,2019-02-01,1284845,KTHB
Article in journal,u1271chh,2019-02-01,1285119,okänd
Article in journal,u1is2wb6,2019-02-01,1285129,okänd
Article in journal,u1joczcn,2019-02-01,1284680,admin
Conference paper,u1joczcn,2019-02-01,1284683,admin
Article in journal,u1o2txrh,2019-02-01,1284861,KTHB
Article in journal,u1o2txrh,2019-02-01,1284866,KTHB
Article in journal,u1o2txrh,2019-02-01,1284753,KTHB
Article in journal,u1rp75t5,2019-02-01,1285132,okänd
Article in journal,u1joczcn,2019-02-01,1284849,admin
Article in journal,u1o2txrh,2019-02-04,1285319,KTHB
Article in journal,u1o2txrh,2019-02-04,1285434,KTHB
Article in journal,u1o2txrh,2019-02-04,1285373,KTHB
Conference paper,u1quzqlb,2019-02-04,1285407,okänd
Article in journal,u1e34tij,2019-02-04,1285328,okänd
Conference paper,u1quzqlb,2019-02-04,1285403,okänd
Article in journal,u1o2txrh,2019-02-04,1285332,KTHB
Article in journal,u1o2txrh,2019-02-04,1285408,KTHB
Article in journal,u1o2txrh,2019-02-04,1285346,KTHB
Conference paper,u1quzqlb,2019-02-04,1285396,okänd
Article in journal,u1o2txrh,2019-02-05,1285803,KTHB
Conference paper,u1g4i86g,2019-02-05,1285833,okänd
Article in journal,u1o2txrh,2019-02-05,1285777,KTHB
Article in journal,u1o2txrh,2019-02-05,1285796,KTHB
Article in journal,u1v26zcz,2019-02-05,1285723,okänd
Article in journal,u1o2txrh,2019-02-05,1285768,KTHB
Conference paper,u1hb15m1,2019-02-06,1286203,okänd
Article in journal,u1gdz3ul,2019-02-06,1286118,okänd
Article in journal,u1o2txrh,2019-02-06,1286320,KTHB
Article in journal,u1wdbont,2019-02-06,1286458,okänd
Article in journal,u1o2txrh,2019-02-06,1286330,KTHB
Chapter in book,u18u3g0g,2019-02-07,1286804,okänd
Article in journal,u1o2txrh,2019-02-07,1286782,KTHB
Article in journal,u1o2txrh,2019-02-07,1286562,KTHB
Chapter in book,u18u3g0g,2019-02-07,1286790,okänd
Chapter in book,u18u3g0g,2019-02-07,1286802,okänd
Chapter in book,u18u3g0g,2019-02-07,1286789,okänd
Article in journal,u1o2txrh,2019-02-07,1286571,KTHB
Article in journal,u1atuaic,2019-02-07,1286589,okänd
Collection (editor),u18u3g0g,2019-02-07,1286794,okänd
Article in journal,u193bf05,2019-02-08,1286848,okänd
Article in journal,u193bf05,2019-02-08,1286847,okänd
Conference paper,u1ppug9t,2019-02-08,1287024,okänd
Article in journal,u1atuaic,2019-02-09,1287233,okänd
Article in journal,u1o2txrh,2019-02-11,1287511,KTHB
Article in journal,u1o2txrh,2019-02-12,1287940,KTHB
Article in journal,u13h9uqy,2019-02-12,1288139,KTHB
Article in journal,u1o2txrh,2019-02-12,1288198,KTHB
Article in journal,u13h9uqy,2019-02-12,1288162,KTHB
Article in journal,u13h9uqy,2019-02-12,1288167,KTHB
Article in journal,u13h9uqy,2019-02-12,1287978,KTHB
Article in journal,u1ryyfau,2019-02-13,1288575,okänd
Manuscript (preprint),u1jmxwem,2019-02-13,1288630,okänd
Article in journal,u1o2txrh,2019-02-13,1288334,KTHB
Article in journal,u1ryyfau,2019-02-13,1288542,okänd
Article in journal,u1833jfs,2019-02-14,1288805,okänd
Article in journal,u1msirw5,2019-02-14,1288903,okänd
Article in journal,u1rfng4u,2019-02-14,1288671,okänd
Article in journal,u1ms3mq2,2019-02-15,1289073,okänd
Article in journal,u1ms3mq2,2019-02-15,1289082,okänd
Manuscript (preprint),u1ms3mq2,2019-02-15,1289061,okänd
Article in journal,u17yzh8d,2019-02-17,1289314,okänd
Article in journal,u11riuy6,2019-02-17,1289328,okänd
Article in journal,u1coq1jm,2019-02-18,1289499,KTHB
Article in journal,u1coq1jm,2019-02-18,1289458,KTHB
Article in journal,u1coq1jm,2019-02-18,1289539,KTHB
Article in journal,u1coq1jm,2019-02-18,1289521,KTHB
Article in journal,u1coq1jm,2019-02-18,1289513,KTHB
Article in journal,u1coq1jm,2019-02-18,1289470,KTHB
Article in journal,u1coq1jm,2019-02-18,1289523,KTHB
Article in journal,u1coq1jm,2019-02-18,1289461,KTHB
Article in journal,u1coq1jm,2019-02-18,1289512,KTHB
Conference paper,u1o2txrh,2019-02-18,1289508,KTHB
Article in journal,u1o2txrh,2019-02-18,1289469,KTHB
Article in journal,u1coq1jm,2019-02-18,1289464,KTHB
Article in journal,u1o2txrh,2019-02-18,1289565,KTHB
Article in journal,u1coq1jm,2019-02-18,1289502,KTHB
Article in journal,u1coq1jm,2019-02-18,1289532,KTHB
Article in journal,u1o2txrh,2019-02-18,1289561,KTHB
Article in journal,u1coq1jm,2019-02-18,1289544,KTHB
Article in journal,u1o2txrh,2019-02-18,1289556,KTHB
Article in journal,u1coq1jm,2019-02-18,1289459,KTHB
Article in journal,u1o2txrh,2019-02-18,1289488,KTHB
Article in journal,u1coq1jm,2019-02-18,1289548,KTHB
Article (book review),u1a596wi,2019-02-18,1289663,okänd
Article in journal,u1coq1jm,2019-02-19,1289923,KTHB
Article (review/survey),u1coq1jm,2019-02-19,1289782,KTHB
Article in journal,u1coq1jm,2019-02-19,1289755,KTHB
Article in journal,u1coq1jm,2019-02-19,1289760,KTHB
Article in journal,u1coq1jm,2019-02-19,1289871,KTHB
Article in journal,u1coq1jm,2019-02-19,1289752,KTHB
Article in journal,u1coq1jm,2019-02-19,1289930,KTHB
Article in journal,u1coq1jm,2019-02-19,1289882,KTHB
Article in journal,u1coq1jm,2019-02-19,1289819,KTHB
Article in journal,u1coq1jm,2019-02-19,1289909,KTHB
Article in journal,u1coq1jm,2019-02-19,1289743,KTHB
Article in journal,u1coq1jm,2019-02-19,1289762,KTHB
Article in journal,u1coq1jm,2019-02-19,1289747,KTHB
Article in journal,u1coq1jm,2019-02-19,1289804,KTHB
Article in journal,u1coq1jm,2019-02-19,1289925,KTHB
Article in journal,u1coq1jm,2019-02-19,1289889,KTHB
Article in journal,u1coq1jm,2019-02-19,1289815,KTHB
Article in journal,u1coq1jm,2019-02-19,1289929,KTHB
Article in journal,u1coq1jm,2019-02-19,1289921,KTHB
Article in journal,u1coq1jm,2019-02-19,1289913,KTHB
Collection (editor),u1q1xlr6,2019-02-19,1290009,okänd
Article in journal,u1coq1jm,2019-02-19,1289794,KTHB
Article in journal,u1coq1jm,2019-02-19,1289878,KTHB
Article in journal,u1coq1jm,2019-02-19,1289885,KTHB
Article in journal,u1coq1jm,2019-02-19,1289775,KTHB
Article in journal,u1coq1jm,2019-02-19,1289748,KTHB
Article in journal,u1coq1jm,2019-02-19,1289744,KTHB
Article in journal,u1coq1jm,2019-02-19,1289746,KTHB
Article in journal,u1coq1jm,2019-02-19,1289742,KTHB
Article in journal,u1coq1jm,2019-02-19,1289766,KTHB
Article in journal,u1coq1jm,2019-02-19,1289790,KTHB
Article in journal,u1coq1jm,2019-02-19,1289805,KTHB
Article in journal,u1coq1jm,2019-02-19,1289936,KTHB
Article in journal,u1coq1jm,2019-02-19,1289915,KTHB
Article in journal,u1coq1jm,2019-02-19,1289750,KTHB
Article in journal,u1coq1jm,2019-02-19,1289807,KTHB
Article in journal,u1coq1jm,2019-02-19,1289751,KTHB
Article in journal,u1coq1jm,2019-02-19,1289797,KTHB
Conference paper,u1o2txrh,2019-02-19,1289787,KTHB
Article in journal,u1coq1jm,2019-02-19,1289875,KTHB
Chapter in book,u1qsrh7y,2019-02-20,1290229,okänd
Article in journal,u1f9txgj,2019-02-20,1290466,okänd
Article in journal,u1o2txrh,2019-02-20,1290428,KTHB
Article in journal,u1o2txrh,2019-02-20,1290397,KTHB
Article in journal,u1o2txrh,2019-02-20,1290335,KTHB
Article in journal,u1w8f26s,2019-02-21,1290946,okänd
Article in journal,u13h9uqy,2019-02-21,1290863,KTHB
Article in journal,u1p4zrpw,2019-02-21,1290920,okänd
Article in journal,u1i8jvxh,2019-02-22,1291044,KTHB
Article in journal,u1i8jvxh,2019-02-22,1291061,KTHB
Article in journal,u1i8jvxh,2019-02-22,1291167,KTHB
Article in journal,u1i8jvxh,2019-02-22,1291073,KTHB
Article in journal,u1i8jvxh,2019-02-22,1291067,KTHB
Conference paper,u1wixmeb,2019-02-22,1291161,okänd
Article in journal,u1u92v2l,2019-02-22,1291212,okänd
Article in journal,u1m0unv8,2019-02-22,1291003,okänd
Article in journal,u1o5pn7n,2019-02-22,1291087,okänd
Conference paper,u1sop5xa,2019-02-24,1291291,okänd
Article in journal,u1lfcm16,2019-02-25,1291567,okänd
Article in journal,u1u7962n,2019-02-25,1291356,okänd
Conference paper,u1ht8xqq,2019-02-25,1291606,okänd
Article in journal,u1ygqmuy,2019-02-27,1292085,okänd
Manuscript (preprint),u134pp4f,2019-02-28,1292615,okänd
Article in journal,u13h9uqy,2019-03-01,1293019,KTHB
Article in journal,u13h9uqy,2019-03-01,1293025,KTHB
Article in journal,u13h9uqy,2019-03-01,1293017,KTHB
Article in journal,u13h9uqy,2019-03-01,1293006,KTHB
Article in journal,u13h9uqy,2019-03-01,1293014,KTHB
Article in journal,u116em8s,2019-03-01,1292952,okänd
Article in journal,u13h9uqy,2019-03-01,1293009,KTHB
Article in journal,u13h9uqy,2019-03-01,1293027,KTHB
Article in journal,u13h9uqy,2019-03-01,1293012,KTHB
Article in journal,u13h9uqy,2019-03-01,1293021,KTHB
Article in journal,u13h9uqy,2019-03-01,1293023,KTHB
Article in journal,u13h9uqy,2019-03-01,1293033,KTHB
Conference paper,u18s92n3,2019-03-01,1292999,okänd
Article in journal,u13h9uqy,2019-03-01,1293031,KTHB
Article in journal,u1bgzwqj,2019-03-01,1292819,okänd
Conference paper,u13grc1j,2019-03-04,1293187,okänd
Article in journal,u13h9uqy,2019-03-04,1293224,KTHB
Article in journal,u13h9uqy,2019-03-04,1293230,KTHB
Article in journal,u13h9uqy,2019-03-04,1293236,KTHB
Article in journal,u1d317b1,2019-03-05,1293928,okänd
Article in journal,u13h9uqy,2019-03-05,1293893,KTHB
Article in journal,u13h9uqy,2019-03-05,1293916,KTHB
Article in journal,u13h9uqy,2019-03-05,1293922,KTHB
Article in journal,u13h9uqy,2019-03-05,1293689,KTHB
Article in journal,u13h9uqy,2019-03-05,1293910,KTHB
Article in journal,u13h9uqy,2019-03-05,1293923,KTHB
Article in journal,u13yq2s5,2019-03-05,1293863,KTHB
Article in journal,u13h9uqy,2019-03-05,1293924,KTHB
Article in journal,u13yq2s5,2019-03-05,1293797,KTHB
Article in journal,u13h9uqy,2019-03-05,1293897,KTHB
Article in journal,u13h9uqy,2019-03-06,1293975,KTHB
Article in journal,u13h9uqy,2019-03-06,1294002,KTHB
Article in journal,u1o2txrh,2019-03-06,1294030,KTHB
Article in journal,u1o2txrh,2019-03-06,1294025,KTHB
Article (review/survey),u13h9uqy,2019-03-06,1293970,KTHB
Article in journal,u13h9uqy,2019-03-06,1293980,KTHB
Article in journal,u1o2txrh,2019-03-06,1294014,KTHB
Article in journal,u1jqk24g,2019-03-06,1294010,okänd
Article in journal,u14kkqg0,2019-03-06,1294011,okänd
Article in journal,u13yq2s5,2019-03-07,1294380,KTHB
Article in journal,u13yq2s5,2019-03-07,1294482,KTHB
Article in journal,u1vob8p4,2019-03-07,1294346,okänd
Article in journal,u13yq2s5,2019-03-07,1294489,KTHB
Article in journal,u13yq2s5,2019-03-07,1294565,KTHB
Article in journal,u13yq2s5,2019-03-07,1294371,KTHB
Article in journal,u13yq2s5,2019-03-07,1294567,KTHB
Article in journal,u13yq2s5,2019-03-07,1294552,KTHB
Article in journal,u13yq2s5,2019-03-07,1294468,KTHB
Article in journal,u13yq2s5,2019-03-07,1294461,KTHB
Article in journal,u13yq2s5,2019-03-07,1294507,KTHB
Article in journal,u13yq2s5,2019-03-07,1294558,KTHB
Article in journal,u13yq2s5,2019-03-07,1294494,KTHB
Article in journal,u1b5748d,2019-03-07,1294533,okänd
Article in journal,u1qb9fx9,2019-03-07,1294485,okänd
Article in journal,u13yq2s5,2019-03-07,1294508,KTHB
Article in journal,u13yq2s5,2019-03-07,1294475,KTHB
Article in journal,u13yq2s5,2019-03-08,1295009,KTHB
Article in journal,u1o2txrh,2019-03-08,1294829,KTHB
Article in journal,u13yq2s5,2019-03-08,1294946,KTHB
Article in journal,u1o2txrh,2019-03-08,1294678,KTHB
Article in journal,u1o2txrh,2019-03-08,1294843,KTHB
Article in journal,u171b46t,2019-03-08,1294798,okänd
Article in journal,u13yq2s5,2019-03-08,1294890,KTHB
Article in journal,u1o2txrh,2019-03-08,1294824,KTHB
Chapter in book,u171b46t,2019-03-08,1294788,okänd
Article (review/survey),u1o2txrh,2019-03-08,1294704,KTHB
Article in journal,u13yq2s5,2019-03-08,1294886,KTHB
Article (review/survey),u1o2txrh,2019-03-08,1294671,KTHB
Article in journal,u13yq2s5,2019-03-08,1294920,KTHB
Article in journal,u1o2txrh,2019-03-11,1295265,KTHB
Article in journal,u1o2txrh,2019-03-11,1295203,KTHB
Article in journal,u1o2txrh,2019-03-11,1295263,KTHB
Article in journal,u1o2txrh,2019-03-11,1295240,KTHB
Article in journal,u1o2txrh,2019-03-11,1295255,KTHB
Article in journal,u1o2txrh,2019-03-11,1295226,KTHB
Article in journal,u1o2txrh,2019-03-11,1295253,KTHB
